DetalleID,VentaID,ProductoID,Cantidad,Precio unitario
219,74,6,5,200.83
220,74,10,2,158.6
221,74,2,4,112.74
222,74,9,3,94.19
223,75,11,3,227.0
224,75,9,2,179.59
225,75,1,3,122.53
226,76,7,8,208.34
227,76,9,3,131.01
228,76,2,8,90.19
229,76,6,1,238.95
230,77,11,2,127.41
231,77,9,4,234.32
232,78,2,3,215.64
233,78,4,7,287.97
234,78,8,4,94.49
235,78,4,1,209.21
236,79,5,8,261.31
237,79,2,6,97.25
238,79,10,8,65.41
239,79,7,2,164.24
240,79,6,1,133.32
241,80,5,10,209.52
242,80,3,6,114.22
243,80,2,7,285.41
244,80,7,8,148.79
245,80,1,1,298.8
246,81,8,10,71.76
247,81,9,10,180.04
248,81,5,10,249.28
249,82,12,8,11.92
250,82,2,1,232.12
251,83,6,10,169.63
252,83,3,8,105.23
253,83,4,3,153.75
254,83,1,2,233.1
255,84,7,6,242.14
256,85,7,5,72.51
257,85,5,5,59.5
258,86,4,5,96.98
259,86,7,5,126.55
260,86,12,7,259.64
261,87,11,2,102.82
262,87,12,8,21.07
263,87,1,10,113.83
264,87,5,7,221.97
265,87,1,8,230.13
266,88,7,4,69.39
267,88,8,6,268.29
268,88,2,9,112.05
269,89,12,2,288.17
270,89,4,8,253.9
271,89,6,7,115.0
272,89,7,1,225.59
273,89,10,3,285.21
274,90,1,6,269.77
275,91,9,4,72.82
276,91,3,1,80.66
277,91,2,6,200.79
278,91,3,10,79.61
279,92,3,5,245.93
280,92,10,7,41.7
281,92,6,2,263.68
282,92,7,6,225.36
283,92,11,7,75.01
284,93,9,5,187.57
285,93,10,8,78.05
286,93,11,5,90.13
287,93,9,9,138.1
288,93,11,8,187.35
289,94,6,4,111.2
290,95,2,8,296.43
291,95,7,3,255.56
292,95,11,10,167.32
293,95,12,4,291.45
294,96,10,2,50.94
295,96,1,3,100.08
296,96,12,7,238.37
297,97,8,1,166.12
298,97,8,2,102.17
299,97,5,2,168.12
300,98,11,9,176.63
301,98,6,9,34.35
302,99,3,7,172.18
303,100,2,8,236.84
304,100,5,3,198.77
305,100,5,1,109.63
306,100,8,1,144.99
307,101,10,8,23.77
308,101,10,3,248.81
309,101,5,4,284.34
310,102,11,7,37.81
311,102,11,6,238.66
312,102,3,7,172.98
313,102,3,8,41.58
314,103,7,6,46.1
315,103,12,2,183.65
316,104,1,3,183.93
317,104,6,9,291.74
318,104,8,9,253.52
319,104,11,1,262.48
320,105,3,7,207.66
321,105,4,8,282.28
322,105,2,4,113.31
323,106,7,7,65.25
324,107,3,9,232.04
325,107,1,4,55.45
326,107,8,10,194.2
327,107,10,6,211.84
328,108,1,1,250.53
329,108,4,2,74.73
330,108,12,9,50.91
331,108,11,8,210.25
332,108,9,6,176.64
333,109,2,4,164.59
334,109,3,9,41.36
335,110,3,3,50.33
336,110,7,5,97.95
337,110,8,10,258.3
338,110,8,9,176.56
339,110,4,3,115.88
340,111,1,4,78.5
341,112,5,5,270.83
342,112,6,2,285.16
343,113,7,6,247.88
344,114,8,5,219.73
345,114,11,10,203.75
346,115,6,1,219.73
347,115,5,1,41.61
348,116,3,1,294.4
349,116,9,9,201.67
350,116,3,10,27.41
351,116,11,7,260.35
352,116,10,8,11.99
353,117,4,6,44.54
354,117,6,1,28.93
355,118,2,1,191.34
356,118,5,3,141.72
357,119,7,1,38.11
358,120,11,1,93.62
359,120,8,10,255.89
360,120,11,3,97.7
361,120,3,4,117.5
362,120,2,6,248.52
363,121,12,9,145.09
364,121,11,5,184.43
365,121,2,9,251.72
366,121,10,9,269.14
367,121,7,4,147.28
368,122,6,7,52.26
369,122,8,4,91.39
370,123,11,3,213.57
371,123,12,1,261.53
372,123,1,4,244.27
373,123,11,9,192.65
374,124,10,5,164.16
375,124,2,2,97.13
376,124,2,10,96.45
377,124,7,5,132.31
378,124,2,5,287.28
379,125,6,7,197.46
380,125,9,4,170.16
381,125,1,2,212.18
382,125,1,9,166.77
383,126,4,8,246.8
384,126,11,4,133.75
385,126,12,9,172.26
386,127,5,10,95.76
387,127,4,1,66.4
388,127,8,4,273.83
389,127,3,4,59.16
390,127,1,8,242.34
391,128,9,6,216.58
392,128,10,9,241.12
393,129,5,6,196.24
394,129,12,6,193.1
395,129,12,8,291.23
396,129,2,9,167.9
397,129,5,10,38.76
398,130,10,3,145.53
399,131,5,5,171.62
400,131,8,8,257.25
401,131,2,6,235.57
402,131,2,10,208.11
403,131,6,3,75.97
404,132,4,4,25.03
405,133,8,6,19.39
406,134,12,4,283.22
407,134,6,9,159.07
408,134,9,2,118.38
409,134,2,5,260.72
410,135,2,7,297.79
411,135,7,4,286.06
412,135,10,8,59.71
413,135,5,4,89.5
414,135,9,2,197.64
415,136,7,9,104.81
416,136,12,1,90.54
417,136,10,4,166.52
418,136,5,2,147.74
419,137,6,9,186.5
420,137,10,2,85.64
421,137,8,8,280.42
422,137,8,1,35.35
423,137,12,5,68.13
424,138,4,3,156.29
425,138,12,4,231.39
426,138,3,2,109.05
427,138,5,9,175.63
428,139,3,7,230.18
429,139,7,9,257.89
430,139,2,10,154.0
431,139,8,2,102.89
432,139,12,10,239.47
433,140,11,4,135.76
434,140,11,1,166.18
435,140,1,4,224.46
436,140,4,1,184.42
437,140,8,1,36.25
438,141,10,1,142.29
439,141,4,3,149.04
440,141,6,7,11.04
441,141,7,4,181.48
442,142,12,2,19.19
443,142,3,4,172.21
444,143,2,3,188.5
445,144,5,7,103.62
446,144,4,9,68.0
447,144,8,4,296.91
448,144,9,1,46.94
449,145,5,4,133.73
450,145,7,2,224.53
451,145,3,6,267.11
452,146,2,4,200.64
453,146,9,5,11.99
454,146,2,1,127.24
455,146,8,4,139.6
456,147,11,9,195.5
457,147,11,9,12.83
458,148,1,10,156.37
459,149,4,6,219.93
460,150,7,6,61.75
461,151,5,1,150.37
462,151,12,2,89.53
463,151,6,5,165.59
464,151,5,1,257.28
465,152,5,5,245.72
466,152,10,10,245.56
467,152,6,4,171.29
468,153,6,4,278.08
469,153,1,6,69.01
470,153,6,3,259.77
471,153,1,4,170.76
472,154,4,3,102.03
473,154,1,10,237.27
474,155,1,3,124.36
475,155,3,2,286.96
476,155,8,10,188.93
477,155,3,4,119.25
478,156,6,7,289.03
479,156,9,7,59.52
480,156,10,4,87.5
481,156,8,7,93.79
482,156,4,7,298.57
483,157,7,8,174.77
484,157,2,8,62.27
485,157,4,10,277.64
486,158,6,2,110.2
487,159,2,8,15.24
488,159,4,8,86.06
489,159,9,9,197.77
490,160,8,8,272.19
491,160,4,9,193.92
492,160,5,8,277.77
493,161,8,2,297.3
494,161,12,2,109.46
495,161,4,10,100.76
496,162,8,2,206.2
497,162,7,4,235.14
498,162,1,9,57.71
499,162,3,9,163.09
500,162,2,3,250.29
501,163,1,5,213.79
502,163,2,6,87.68
503,163,10,9,233.39
504,163,6,6,62.25
505,164,11,7,103.64
506,164,6,10,123.99
507,164,6,1,247.6
508,165,3,10,122.72
509,165,7,9,248.91
510,165,1,5,272.6
511,165,10,6,265.55
512,165,9,9,244.89
513,166,7,10,215.86
514,166,9,7,95.21
515,167,4,1,118.69
516,167,10,10,174.08
517,167,5,1,290.51
518,167,9,2,238.66
519,167,5,9,227.55
520,168,7,1,124.11
521,168,11,4,91.51
522,168,8,5,247.04
523,168,1,7,111.45
524,169,11,5,36.14
525,169,2,2,143.4
526,169,1,7,206.09
527,169,10,6,10.28
528,169,10,6,284.05
529,170,3,1,126.5
530,170,4,6,67.06
531,170,4,1,213.38
532,171,10,7,62.87
533,171,6,5,248.38
534,171,12,8,128.2
535,171,2,8,114.44
536,172,2,5,257.09
537,172,11,9,45.25
538,173,12,6,234.05
539,173,8,8,60.9
540,173,9,10,118.59
541,173,4,7,295.8
542,173,8,9,116.24
543,174,6,10,299.58
544,174,2,10,155.97
545,174,8,4,79.05
546,175,3,6,140.64
547,175,5,2,86.01
548,175,3,10,272.28
549,175,4,3,220.64
550,175,2,6,276.7
551,176,6,3,162.51
552,177,2,7,211.92
553,177,12,4,220.35
554,177,8,7,116.15
555,177,12,9,299.93
556,178,2,5,210.07
557,178,7,5,233.56
558,178,5,2,221.87
559,179,4,5,193.45
560,179,7,3,160.78
561,179,10,6,14.3
562,180,11,7,119.63
563,180,10,5,72.5
564,181,2,8,83.58
565,181,11,4,104.99
566,182,7,5,278.94
567,182,1,2,236.32
568,182,12,7,120.3
569,183,4,9,158.17
570,184,9,8,262.0
571,184,9,10,174.2
572,184,10,10,128.68
573,184,8,7,70.9
574,185,1,5,30.32
575,186,2,2,290.41
576,186,9,7,39.94
577,186,3,2,284.01
578,186,11,9,13.93
579,187,10,5,223.89
580,187,12,7,48.71
581,187,9,8,49.82
582,187,6,6,131.09
583,188,1,3,274.83
584,188,5,2,164.4
585,189,7,1,168.18
586,189,4,6,292.51
587,189,2,7,164.85
588,190,2,1,110.77
589,190,9,3,79.81
590,190,10,7,211.43
591,190,12,2,71.33
592,190,5,5,197.04
593,191,2,4,74.48
594,191,2,6,33.57
595,192,7,2,245.25
596,192,4,1,64.43
597,192,5,3,79.4
598,192,3,7,237.55
599,193,12,8,259.46
600,194,11,6,261.22
601,194,12,5,179.5
602,195,1,1,70.29
603,195,9,5,248.03
604,195,11,3,258.73
605,196,2,2,276.34
606,196,12,2,94.62
607,196,10,2,56.62
608,197,7,4,118.93
609,197,1,7,171.69
610,197,5,2,215.75
611,197,11,6,110.67
612,198,8,1,98.5
613,198,10,6,67.64
614,199,5,7,289.92
615,199,11,3,28.08
616,199,9,3,248.7
617,199,2,9,297.61
618,199,2,7,20.69
619,200,4,4,145.37
620,200,4,8,110.15
621,200,6,7,219.7
622,200,4,8,88.92
623,200,2,5,86.79
624,201,2,4,31.09
625,202,12,10,203.54
626,203,12,2,61.97
627,203,11,8,148.66
628,204,6,4,216.83
629,204,9,7,155.11
630,204,12,5,259.55
631,204,7,4,126.97
632,204,3,2,168.2
633,205,7,8,112.84
634,206,2,7,43.73
635,206,8,4,120.75
636,206,8,10,238.75
637,206,3,2,95.19
638,207,2,4,24.79
639,207,4,2,164.67
640,207,12,8,211.14
641,208,7,3,187.52
642,209,6,9,128.25
643,209,10,3,60.11
644,209,10,3,200.11
645,209,9,3,164.1
646,210,9,7,49.53
647,210,12,6,235.12
648,210,1,9,107.76
649,210,3,7,153.26
650,211,12,9,64.81
651,211,7,8,90.84
652,212,6,5,105.66
653,212,10,7,67.17
654,213,12,2,237.11
655,213,7,10,130.29
656,213,4,7,64.59
657,214,3,10,237.32
658,214,7,10,53.49
659,214,6,3,20.23
660,215,11,7,281.39
661,215,4,6,76.96
662,215,7,9,157.95
663,216,10,2,213.4
664,216,6,10,219.35
665,216,4,7,23.41
666,217,6,1,133.16
667,217,4,5,48.69
668,218,12,9,62.95
669,218,6,9,71.07
670,218,1,4,96.08
671,218,1,2,250.22
672,219,2,1,285.2
673,220,3,10,133.34
674,220,12,3,187.2
675,220,4,9,120.21
676,220,5,3,185.63
677,220,7,3,268.06
678,221,10,7,282.63
679,221,9,2,154.88
680,221,9,1,48.85
681,221,12,7,263.2
682,221,5,1,129.26
683,222,8,8,278.11
684,223,9,9,158.04
685,223,5,4,282.85
686,224,10,7,96.23
687,224,6,3,270.36
688,224,10,10,92.92
689,224,10,1,224.46
690,225,9,10,107.65
691,225,3,8,104.87
692,225,8,2,205.03
693,225,11,8,293.58
694,226,4,5,114.6
695,226,12,9,243.23
696,226,12,10,117.71
697,227,1,6,214.64
698,227,8,8,271.61
699,227,6,10,92.88
700,228,7,6,172.63
701,228,5,3,10.72
702,228,6,1,78.97
703,228,6,6,133.35
704,228,4,1,228.52
705,229,3,10,249.21
706,229,3,10,17.21
707,229,4,3,11.69
708,230,11,3,148.68
709,230,9,8,177.84
710,230,5,5,98.96
711,230,5,2,209.82
712,230,8,5,295.16
713,231,5,4,81.69
714,232,8,4,202.71
715,233,4,2,280.87
716,233,3,1,295.02
717,233,4,9,127.52
718,233,10,1,184.18
719,233,7,7,287.07
720,234,7,2,153.63
721,235,1,1,155.31
722,236,3,3,25.63
723,237,11,9,159.46
724,237,10,4,220.36
725,237,12,6,101.06
726,238,4,1,62.19
727,239,5,2,256.3
728,239,10,4,292.63
729,239,5,7,222.31
730,239,6,2,264.86
731,240,4,2,280.12
732,240,10,5,16.37
733,240,12,7,106.24
734,241,2,9,136.94
735,242,12,1,236.14
736,242,4,2,260.05
737,242,5,5,238.9
738,243,12,5,241.88
739,244,2,5,130.82
740,244,4,7,90.55
741,244,3,6,77.29
742,244,4,9,73.13
743,245,7,1,45.02
744,245,4,4,291.73
745,245,11,1,230.55
746,245,11,4,293.01
747,245,1,6,185.99
748,246,11,9,124.42
749,246,8,4,223.15
750,246,11,5,227.49
751,247,1,8,105.71
752,248,6,3,157.62
753,249,10,2,262.53
754,249,10,3,299.7
755,250,10,5,142.91
756,250,8,4,249.93
757,250,6,2,282.51
758,251,8,8,219.77
759,251,11,4,37.45
760,251,8,3,155.64
761,251,11,5,217.25
762,252,11,1,90.94
763,253,2,10,176.2
764,254,12,6,125.23
765,254,10,7,266.04
766,254,6,8,250.94
767,254,3,7,209.96
768,255,11,7,285.2
769,256,6,3,91.9
770,256,4,1,230.42
771,256,6,4,271.3
772,256,8,7,66.71
773,257,1,1,109.65
774,257,5,4,141.0
775,258,4,10,274.68
776,258,7,1,266.84
777,258,2,6,11.41
778,258,11,3,205.97
779,259,2,7,30.76
780,259,9,3,250.42
781,259,2,1,17.32
782,260,8,7,278.08
783,261,12,3,246.82
784,261,12,1,179.87
785,261,3,6,31.24
786,261,7,4,30.22
787,261,9,7,297.94
788,262,7,2,191.91
789,262,8,6,272.43
790,262,12,8,147.96
791,263,4,2,49.35
792,263,9,8,106.34
793,264,5,7,133.66
794,264,4,10,136.42
795,264,4,6,292.1
796,264,4,5,158.74
797,265,1,9,182.43
798,265,4,8,127.98
799,266,6,10,236.76
800,266,12,9,112.96
801,266,3,4,182.94
802,266,9,4,22.89
803,267,1,9,118.42
804,268,12,2,298.82
805,269,7,9,264.49
806,269,8,6,85.6
807,270,4,6,88.0
808,270,1,9,294.16
809,270,9,5,175.03
810,270,10,2,111.36
811,270,11,10,96.18
812,271,4,9,242.66
813,271,1,10,288.15
814,271,1,8,268.67
815,271,2,8,150.48
816,272,4,2,34.36
817,272,3,9,11.46
818,272,8,5,299.83
819,272,12,2,39.41
820,273,4,4,81.99
821,273,2,7,184.88
822,273,5,9,14.32
823,274,7,1,249.1
824,274,2,5,25.82
825,274,5,6,279.56
826,275,3,9,75.27
827,275,12,7,197.11
828,275,3,10,118.48
829,275,6,10,171.34
830,276,3,4,192.78
831,277,8,3,73.99
832,277,10,6,142.91
833,277,3,6,91.49
834,278,5,9,60.47
835,278,3,2,209.71
836,278,3,8,199.14
837,278,10,8,259.63
838,278,6,7,41.27
839,279,9,2,16.05
840,280,3,4,55.11
841,280,11,8,192.03
842,280,3,9,98.21
843,281,6,9,281.36
844,281,5,8,55.33
845,281,6,3,255.34
846,281,10,3,262.62
847,281,9,2,54.64
848,282,12,5,271.97
849,283,9,5,270.13
850,283,6,8,83.45
851,283,2,2,198.08
852,283,7,10,233.7
853,283,2,1,294.36
854,284,3,9,173.46
855,284,4,8,285.41
856,285,2,4,130.37
857,285,8,5,187.55
858,285,3,7,203.87
859,285,9,1,74.41
860,285,7,10,64.66
861,286,12,5,283.18
862,286,6,6,60.88
863,286,7,7,13.44
864,287,10,9,10.98
865,287,2,8,187.8
866,287,10,3,10.32
867,287,10,7,125.44
868,288,11,1,221.38
869,288,1,8,25.05
870,288,4,7,259.55
871,288,7,1,272.25
872,289,3,4,61.33
873,289,7,2,144.48
874,289,10,9,262.01
875,289,5,2,294.19
876,290,8,4,124.19
877,290,8,6,82.92
878,291,12,10,211.59
879,291,11,10,121.12
880,292,9,2,61.62
881,292,4,3,23.72
882,293,7,7,232.73
883,293,12,10,204.98
884,293,2,4,289.93
885,293,11,1,158.72
886,294,2,2,52.09
887,294,6,2,234.69
888,294,7,9,281.39
889,295,7,4,232.77
890,295,1,8,165.57
891,295,11,8,54.58
892,295,6,10,60.59
893,296,5,10,286.35
894,296,8,1,98.83
895,297,7,5,240.31
896,297,11,1,267.51
897,297,2,5,142.88
898,297,10,10,43.56
899,298,7,3,234.07
900,298,11,5,166.99
901,298,8,7,298.04
902,299,7,2,278.77
903,300,6,5,144.1
904,300,11,6,183.26
905,300,1,6,276.79
906,300,12,3,42.71
907,301,10,5,210.13
908,301,9,3,186.49
909,301,6,7,221.18
910,301,3,3,24.79
911,301,5,8,237.1
912,302,5,7,198.87
913,303,6,2,168.11
914,304,7,6,84.02
915,304,12,4,151.03
916,304,12,2,282.96
917,304,8,8,59.37
918,304,11,1,167.58
919,305,9,2,194.19
920,305,10,6,169.25
921,305,1,4,120.64
922,306,9,8,228.29
923,306,3,8,103.86
924,306,3,1,31.09
925,306,7,6,292.3
926,307,5,7,66.16
927,308,9,4,207.22
928,309,7,6,183.37
929,309,12,8,235.48
930,309,8,6,262.44
931,309,8,4,172.4
932,309,9,10,261.0
933,310,6,6,18.31
934,310,6,5,17.66
935,311,1,3,69.21
936,311,7,9,286.8
937,311,6,1,53.36
938,311,5,9,96.66
939,312,9,7,35.82
940,312,1,7,57.33
941,312,3,8,98.28
942,313,7,9,298.6
943,313,10,7,221.24
944,313,1,9,91.95
945,314,4,9,37.27
946,314,11,1,272.98
947,314,3,6,45.26
948,314,1,1,278.06
949,315,2,9,279.71
950,316,3,10,290.58
951,316,6,8,147.91
952,316,3,1,206.34
953,316,3,3,101.75
954,316,7,5,243.42
955,317,8,6,150.92
956,317,9,1,231.24
957,317,1,3,298.38
958,317,4,8,101.86
959,317,9,4,273.02
960,318,1,2,10.94
961,318,8,8,219.12
962,318,2,7,161.56
963,318,3,2,141.15
964,319,6,3,51.05
965,319,5,9,178.93
966,320,4,5,26.5
967,320,3,4,219.23
968,320,10,9,182.4
969,320,5,10,292.7
970,321,8,9,44.54
971,321,1,3,188.01
972,321,5,10,225.06
973,322,7,9,105.01
974,323,8,6,126.06
975,323,4,1,161.59
976,323,11,1,37.03
977,324,1,7,246.4
978,325,5,6,205.97
979,325,5,3,39.93
980,326,6,5,61.08
981,326,1,3,197.06
982,326,8,5,83.8
983,326,7,7,36.28
984,327,10,10,41.22
985,327,3,2,74.51
986,328,8,4,187.26
987,328,9,3,176.81
988,328,12,8,43.64
989,329,4,1,81.21
990,330,10,6,199.1
991,330,3,10,200.87
992,330,4,1,113.25
993,330,8,10,59.76
994,330,10,10,135.9
995,331,9,3,295.1
996,331,5,7,263.3
997,331,9,9,276.05
998,332,10,8,161.25
999,333,10,5,47.08
1000,333,9,3,100.24
1001,333,5,10,97.43
1002,334,7,6,77.13
1003,334,7,9,119.72
1004,334,12,9,172.73
1005,334,2,9,94.92
1006,335,8,5,11.51
1007,335,2,9,291.43
1008,335,3,8,22.86
1009,336,3,6,34.61
1010,337,12,6,283.2
1011,337,1,7,138.94
1012,338,9,9,35.1
1013,339,10,2,74.93
1014,339,7,7,270.99
1015,339,3,6,154.54
1016,340,3,6,180.49
1017,340,11,3,90.42
1018,340,12,7,209.05
1019,341,10,8,46.33
1020,341,9,7,14.4
1021,341,6,3,169.01
1022,341,4,5,149.72
1023,342,5,9,112.78
1024,342,10,6,115.92
1025,342,8,5,150.07
1026,342,5,10,164.05
1027,342,8,1,86.55
1028,343,8,2,91.96
1029,343,2,10,23.68
1030,343,3,4,204.03
1031,344,6,4,176.02
1032,344,2,5,275.74
1033,344,9,4,34.15
1034,345,3,9,73.26
1035,345,4,10,60.1
1036,346,2,2,63.65
1037,346,1,3,85.59
1038,346,9,3,122.95
1039,347,2,2,244.6
1040,347,12,7,275.09
1041,347,6,1,48.86
1042,347,8,9,208.37
1043,347,2,1,73.87
1044,348,3,8,46.97
1045,348,9,9,21.67
1046,348,8,7,203.15
1047,349,7,9,235.27
1048,349,2,7,100.32
1049,349,1,9,246.59
1050,349,4,8,291.41
1051,349,12,7,98.48
1052,350,9,9,88.42
1053,350,2,7,174.26
1054,350,10,4,141.89
1055,350,6,3,105.95
1056,351,6,10,184.35
1057,351,2,10,243.83
1058,351,2,8,154.94
1059,351,6,3,89.27
1060,351,4,2,69.09
1061,352,3,7,43.37
1062,352,11,4,294.3
1063,352,12,8,134.55
1064,352,11,1,151.75
1065,352,6,4,275.9
1066,353,11,9,208.02
1067,353,8,5,271.81
1068,353,1,7,260.84
1069,353,2,8,256.64
1070,354,5,5,28.76
1071,354,7,1,149.51
1072,354,7,9,53.47
1073,354,4,7,176.43
1074,354,8,10,160.54
1075,355,1,6,120.35
1076,355,8,2,151.83
1077,355,2,6,271.8
1078,355,8,7,71.99
1079,355,7,1,277.07
1080,356,10,3,197.64
1081,356,7,8,143.47
1082,356,3,1,132.08
1083,356,10,10,238.46
1084,356,7,1,173.3
1085,357,1,10,66.3
1086,358,8,10,288.98
1087,358,4,9,252.87
1088,358,3,10,15.35
1089,358,1,10,97.69
1090,358,11,3,93.12
1091,359,9,3,238.41
1092,359,4,10,54.17
1093,359,11,3,131.94
1094,360,5,8,52.97
1095,360,5,6,242.15
1096,360,12,8,28.51
1097,360,9,9,134.83
1098,360,10,9,213.84
1099,361,8,6,265.61
1100,362,10,6,119.37
1101,362,9,3,166.32
1102,363,7,3,164.26
1103,364,12,9,116.73
1104,364,6,10,184.8
1105,364,4,6,259.78
1106,364,5,1,54.53
1107,365,10,10,129.88
1108,365,12,5,106.37
1109,365,2,2,148.98
1110,365,5,7,136.28
1111,366,1,5,152.28
1112,366,10,1,191.64
1113,366,11,2,168.7
1114,366,8,9,169.77
1115,366,7,7,288.65
1116,367,5,2,144.44
1117,367,11,2,85.12
1118,368,7,3,297.26
1119,368,6,9,201.4
1120,368,1,7,260.41
1121,368,6,9,33.26
1122,368,7,4,139.55
1123,369,10,3,189.09
1124,369,1,10,166.1
1125,369,7,2,274.25
1126,369,5,7,198.86
1127,370,3,9,189.09
1128,371,9,4,196.04
1129,372,7,2,113.47
1130,372,7,10,45.0
1131,373,3,1,102.86
1132,373,9,3,184.82
1133,373,10,1,13.81
1134,374,12,7,137.17
1135,374,1,5,134.73
1136,374,6,7,48.89
1137,375,5,7,202.74
1138,375,4,2,177.43
1139,375,12,9,90.0
1140,375,5,4,54.63
1141,376,2,10,295.46
1142,376,4,5,252.61
1143,376,5,7,124.11
1144,376,7,9,280.15
1145,376,12,1,196.62
1146,377,4,3,11.44
1147,377,11,1,266.11
1148,378,11,3,150.27
1149,379,6,3,218.33
