InventarioID,ProductoID,Fecha del movimiento,Tipo de movimiento,Cantidad,ProveedorID
117,8,2024-08-29,Entrada,82,37
118,5,2022-10-25,Entrada,80,45
119,7,2024-02-27,Salida,76,36
120,5,2023-12-22,Salida,19,17
121,6,2023-02-18,Entrada,20,5
122,11,2024-07-06,Salida,3,47
123,12,2023-03-07,Salida,81,23
124,3,2023-03-16,Salida,21,45
125,9,2023-01-15,Salida,25,31
126,3,2023-11-30,Salida,54,10
127,9,2023-03-12,Entrada,31,35
128,7,2023-01-02,Salida,10,33
129,7,2024-09-24,Salida,87,46
130,3,2023-12-19,Salida,35,25
131,2,2024-04-22,Salida,100,21
132,7,2022-11-07,Salida,57,44
133,10,2023-11-25,Salida,25,25
134,10,2023-09-02,Entrada,28,16
135,10,2022-11-08,Entrada,46,47
136,1,2022-12-16,Entrada,70,13
137,6,2024-07-04,Salida,71,46
138,8,2023-10-13,Salida,13,12
139,1,2024-03-24,Entrada,99,45
140,12,2024-10-04,Salida,82,38
141,7,2024-03-09,Salida,47,6
142,2,2024-05-04,Entrada,16,26
143,8,2024-04-19,Salida,9,36
144,5,2023-04-25,Salida,94,12
145,7,2024-05-08,Entrada,22,44
146,11,2023-11-28,Entrada,22,34
147,3,2022-11-26,Salida,77,30
148,3,2024-07-30,Salida,26,34
149,6,2023-01-22,Entrada,50,38
150,1,2023-11-22,Salida,47,3
151,2,2023-10-29,Entrada,95,11
152,1,2023-06-27,Entrada,5,18
153,2,2024-02-21,Entrada,18,49
154,9,2023-12-21,Entrada,17,2
155,4,2023-01-01,Entrada,17,10
156,11,2023-06-14,Entrada,46,3
157,2,2024-08-13,Salida,21,7
158,7,2023-10-29,Entrada,74,15
159,11,2023-11-18,Salida,90,21
160,3,2023-01-09,Salida,28,7
161,11,2024-06-15,Entrada,33,26
162,2,2024-03-26,Salida,89,11
163,6,2023-11-26,Salida,43,27
164,10,2024-04-04,Entrada,92,50
165,7,2022-10-25,Entrada,3,12
166,1,2023-10-16,Salida,4,41
167,11,2022-12-09,Entrada,45,20
168,7,2023-07-28,Entrada,45,28
169,9,2022-10-30,Entrada,88,35
170,6,2024-03-06,Salida,98,20
171,3,2022-10-21,Salida,6,5
172,1,2023-07-22,Entrada,50,7
173,12,2023-01-14,Entrada,72,30
174,5,2023-02-19,Entrada,81,2
175,10,2024-02-04,Salida,92,46
176,10,2024-09-26,Salida,42,26
177,5,2023-07-05,Salida,8,38
178,2,2023-02-15,Entrada,34,17
179,9,2024-06-21,Entrada,22,17
180,4,2024-07-22,Salida,20,47
181,4,2022-11-10,Salida,35,28
182,4,2024-01-09,Salida,58,18
183,5,2023-11-05,Salida,48,41
184,3,2022-12-18,Salida,77,14
185,6,2023-10-03,Entrada,17,18
186,12,2023-05-02,Entrada,71,15
187,11,2023-06-08,Salida,74,49
188,9,2023-08-12,Salida,69,1
189,3,2024-01-10,Salida,44,1
190,5,2023-04-18,Entrada,79,34
191,1,2022-10-25,Entrada,72,15
192,3,2024-09-25,Salida,1,6
193,7,2023-01-18,Entrada,36,13
194,7,2023-10-25,Salida,7,29
195,11,2023-10-16,Entrada,10,2
196,1,2023-09-18,Salida,14,25
197,11,2023-09-10,Salida,77,28
198,7,2023-04-08,Salida,62,2
199,11,2022-11-05,Salida,100,28
200,11,2024-07-12,Salida,87,1
201,11,2023-12-26,Salida,74,32
202,4,2023-10-11,Entrada,6,50
203,1,2023-08-13,Entrada,7,28
204,8,2024-09-27,Salida,7,40
205,6,2023-02-26,Salida,58,24
206,6,2024-03-16,Salida,64,46
207,7,2024-05-27,Salida,61,3
208,5,2023-07-06,Salida,81,13
209,8,2024-04-05,Salida,56,11
210,10,2023-04-09,Entrada,87,19
211,7,2024-01-19,Salida,20,18
212,8,2024-02-06,Salida,38,8
213,7,2023-05-01,Entrada,34,9
214,3,2024-03-26,Entrada,47,6
215,1,2023-02-27,Entrada,66,5
216,1,2022-10-16,Salida,23,8
217,3,2023-12-15,Salida,73,2
218,1,2022-10-16,Entrada,87,6
219,9,2024-03-31,Salida,15,42
220,7,2023-09-02,Entrada,26,31
221,5,2024-06-29,Entrada,39,20
222,10,2023-04-13,Entrada,25,6
223,7,2023-01-30,Entrada,3,23
224,1,2024-06-14,Entrada,29,22
225,1,2023-05-20,Entrada,81,8
226,2,2023-06-13,Entrada,42,17
227,12,2023-09-24,Salida,35,3
228,7,2024-06-06,Salida,44,20
229,12,2024-03-04,Entrada,65,13
230,10,2024-04-01,Salida,23,32
231,4,2023-07-02,Entrada,26,3
232,2,2023-09-29,Salida,43,2
233,6,2024-05-25,Entrada,87,15
234,4,2024-06-28,Salida,20,5
235,1,2023-04-06,Entrada,74,2
236,4,2023-08-27,Entrada,95,47
237,10,2023-05-21,Salida,31,5
238,5,2024-07-07,Salida,30,24
239,2,2024-02-11,Entrada,90,20
240,9,2022-11-30,Salida,7,4
241,4,2023-11-24,Entrada,79,46
242,12,2024-06-07,Salida,68,24
243,1,2023-03-22,Entrada,9,35
244,4,2024-05-27,Entrada,97,28
245,7,2023-03-12,Entrada,91,25
246,10,2023-04-30,Entrada,23,14
247,7,2022-12-09,Salida,74,48
248,12,2024-08-05,Salida,52,7
249,1,2023-12-04,Salida,43,5
250,2,2023-08-05,Salida,80,24
251,5,2024-09-15,Entrada,75,33
252,1,2024-01-08,Salida,97,3
253,4,2024-09-22,Salida,27,34
254,1,2023-04-05,Salida,79,49
255,10,2023-05-16,Salida,28,47
256,3,2023-04-03,Salida,76,28
257,9,2023-12-25,Salida,29,10
258,11,2024-05-23,Salida,19,17
259,12,2024-08-16,Entrada,31,19
260,4,2023-10-31,Entrada,23,43
261,9,2023-06-19,Entrada,37,20
262,10,2022-12-23,Entrada,86,15
263,11,2023-04-05,Salida,40,49
264,1,2023-12-28,Entrada,16,23
265,2,2024-07-04,Salida,54,29
266,7,2023-05-29,Entrada,12,6
267,10,2024-09-08,Salida,24,34
268,10,2023-05-09,Entrada,67,47
269,12,2022-12-03,Entrada,70,3
270,3,2022-11-03,Entrada,21,23
271,10,2023-03-26,Entrada,86,26
272,11,2024-08-04,Salida,32,17
273,7,2023-06-05,Entrada,24,15
274,9,2023-12-18,Salida,98,42
275,7,2023-02-12,Entrada,8,8
276,8,2023-03-15,Entrada,24,32
277,9,2023-03-21,Salida,16,40
278,1,2024-03-27,Entrada,27,42
279,12,2023-10-09,Salida,8,1
280,7,2023-09-25,Entrada,46,25
281,9,2023-05-05,Entrada,25,17
282,10,2023-06-05,Entrada,25,22
283,10,2024-09-23,Entrada,60,38
284,11,2024-03-09,Salida,10,16
285,4,2024-04-11,Salida,60,40
286,6,2023-04-26,Entrada,7,50
287,8,2024-08-12,Entrada,86,13
288,2,2024-09-28,Entrada,66,44
289,1,2024-01-21,Entrada,5,13
290,9,2022-11-14,Entrada,60,33
291,3,2022-12-08,Salida,68,15
292,5,2024-04-05,Entrada,83,42
293,7,2024-03-05,Entrada,28,45
294,10,2024-02-13,Entrada,91,43
295,12,2023-11-08,Salida,53,21
296,8,2024-02-19,Entrada,43,26
297,11,2024-06-24,Entrada,31,47
298,4,2024-02-08,Entrada,55,40
299,5,2024-08-19,Salida,81,32
300,5,2024-01-28,Salida,56,27
301,11,2024-09-20,Entrada,29,41
302,6,2023-09-03,Salida,47,8
303,10,2024-02-27,Entrada,68,8
304,2,2023-06-08,Entrada,2,29
305,1,2023-02-17,Entrada,44,29
306,3,2023-07-15,Entrada,24,48
307,10,2023-02-19,Salida,69,30
308,9,2024-05-18,Salida,6,22
309,8,2023-03-06,Entrada,82,9
310,5,2024-03-04,Salida,78,16
311,5,2024-02-20,Salida,63,9
312,11,2023-12-10,Entrada,6,24
313,12,2023-10-14,Entrada,93,12
314,10,2024-05-30,Salida,48,2
315,5,2022-10-15,Entrada,26,2
316,1,2023-12-11,Salida,74,35
317,5,2023-01-27,Entrada,77,40
318,1,2023-06-11,Entrada,48,40
319,7,2024-05-25,Entrada,99,48
320,12,2023-05-06,Salida,8,46
321,7,2023-04-17,Entrada,18,28
322,2,2023-03-15,Salida,97,11
323,11,2024-08-08,Salida,54,46
324,12,2023-12-11,Salida,34,38
325,11,2024-01-15,Entrada,34,20
326,5,2024-09-01,Entrada,90,50
327,6,2024-06-11,Entrada,18,23
328,12,2023-10-01,Entrada,67,46
329,12,2023-11-30,Salida,62,3
330,6,2023-01-03,Salida,46,39
331,10,2023-09-11,Salida,79,38
332,12,2023-04-16,Salida,10,46
333,8,2023-10-08,Salida,57,2
334,11,2024-05-29,Entrada,82,19
335,1,2024-02-28,Salida,56,37
336,9,2022-10-18,Entrada,87,30
337,6,2022-11-07,Entrada,25,1
338,11,2023-10-07,Entrada,60,8
339,4,2022-11-09,Entrada,70,30
340,7,2023-07-20,Entrada,4,6
341,9,2024-10-07,Salida,52,3
342,4,2022-12-15,Salida,41,37
343,6,2023-11-20,Entrada,71,30
344,9,2023-12-26,Salida,1,22
345,9,2024-02-02,Entrada,13,41
346,1,2022-11-14,Entrada,57,50
347,8,2023-04-24,Entrada,77,33
348,12,2022-10-14,Salida,25,31
349,8,2023-07-15,Salida,89,21
350,6,2023-04-29,Salida,32,24
351,6,2023-06-17,Entrada,25,23
352,3,2024-01-15,Salida,45,1
353,6,2023-12-14,Salida,73,48
354,6,2023-08-25,Salida,12,28
355,1,2023-03-27,Salida,21,41
356,4,2024-02-22,Entrada,40,35
357,7,2022-12-06,Salida,73,20
358,8,2022-12-18,Salida,74,43
359,4,2024-04-03,Salida,18,5
360,3,2024-01-15,Entrada,86,18
361,2,2023-10-31,Salida,82,16
362,7,2023-02-14,Entrada,43,6
363,4,2023-04-27,Salida,28,36
364,10,2023-07-24,Entrada,28,36
365,5,2022-12-13,Salida,41,19
366,11,2023-01-27,Entrada,96,16
367,2,2023-01-03,Salida,71,49
368,12,2022-12-07,Salida,81,43
369,12,2024-07-22,Entrada,92,25
370,11,2024-02-15,Salida,43,42
371,4,2024-06-16,Entrada,18,17
372,3,2023-03-27,Entrada,11,42
373,3,2023-11-19,Salida,11,30
374,9,2024-08-16,Entrada,96,44
375,10,2024-05-23,Salida,5,5
376,6,2023-03-02,Entrada,84,11
377,9,2024-09-11,Entrada,41,21
378,12,2023-07-04,Entrada,86,16
379,1,2023-10-02,Salida,41,36
380,12,2023-07-13,Salida,35,37
381,7,2024-10-01,Salida,87,46
382,3,2023-07-27,Entrada,61,28
383,10,2022-10-31,Entrada,98,47
384,3,2023-03-27,Entrada,84,36
385,3,2023-12-01,Salida,21,13
386,10,2024-02-07,Entrada,51,5
387,7,2024-01-08,Salida,3,46
388,9,2024-09-29,Salida,5,9
389,2,2022-10-26,Entrada,55,48
390,8,2023-11-22,Salida,76,48
391,12,2023-12-21,Salida,30,12
392,8,2022-12-26,Salida,57,12
393,8,2024-01-24,Salida,78,30
394,1,2023-04-16,Entrada,6,28
395,2,2022-11-03,Entrada,84,33
396,9,2023-08-24,Entrada,31,37
397,4,2022-10-19,Salida,38,38
398,12,2024-09-03,Salida,43,32
399,5,2024-06-23,Salida,55,40
400,2,2024-04-23,Entrada,31,17
401,9,2023-08-09,Salida,68,45
402,12,2023-01-05,Entrada,32,37
403,7,2024-03-17,Salida,34,41
404,6,2023-04-13,Entrada,96,2
405,12,2023-03-08,Entrada,1,3
406,10,2024-05-22,Salida,22,19
407,12,2023-10-03,Entrada,16,42
408,12,2023-09-08,Salida,77,29
409,8,2023-01-07,Entrada,87,13
410,1,2023-06-05,Entrada,15,26
411,4,2024-07-27,Entrada,39,29
412,2,2022-12-31,Entrada,62,2
413,12,2024-01-10,Salida,20,44
414,4,2023-01-20,Salida,49,44
415,5,2024-02-06,Entrada,92,10
416,6,2023-12-24,Salida,82,49
417,4,2024-01-18,Entrada,94,43
418,9,2024-04-08,Entrada,72,4
419,8,2024-06-07,Salida,8,36
420,4,2024-06-02,Entrada,82,14
421,4,2024-06-25,Salida,56,8
422,6,2023-05-26,Entrada,89,33
423,2,2023-03-17,Salida,48,3
424,1,2023-01-11,Entrada,70,26
425,2,2024-02-12,Entrada,72,31
426,12,2024-08-18,Entrada,29,33
427,7,2024-03-08,Entrada,83,34
428,6,2023-09-14,Salida,51,9
429,2,2023-06-13,Entrada,32,32
430,5,2022-11-06,Salida,95,34
431,5,2024-09-23,Salida,6,35
432,4,2023-05-28,Salida,6,48
433,8,2023-01-03,Entrada,54,31
434,9,2024-04-22,Entrada,32,20
435,9,2023-09-13,Salida,39,6
436,7,2023-08-26,Entrada,39,27
437,11,2024-08-10,Entrada,91,5
438,4,2024-03-27,Salida,99,28
439,6,2024-02-21,Salida,66,14
440,8,2022-11-18,Salida,41,41
441,8,2023-12-24,Entrada,54,48
442,11,2023-02-22,Entrada,11,34
443,3,2023-12-25,Entrada,22,25
444,2,2023-09-22,Salida,22,16
445,3,2024-08-11,Salida,27,11
446,3,2024-09-17,Entrada,9,9
447,9,2024-09-25,Salida,20,24
448,8,2022-11-09,Salida,26,1
449,11,2024-06-04,Entrada,2,36
450,4,2023-12-26,Entrada,72,15
451,9,2024-07-19,Entrada,38,28
452,12,2023-04-14,Salida,25,13
453,12,2023-05-14,Entrada,83,33
454,10,2023-12-03,Entrada,68,28
455,9,2024-09-01,Entrada,22,14
456,1,2023-08-02,Entrada,28,15
457,10,2024-01-26,Salida,71,43
458,2,2023-03-09,Entrada,40,44
459,9,2024-02-21,Entrada,2,12
460,10,2023-07-12,Entrada,72,5
461,8,2023-02-11,Salida,80,35
462,1,2023-10-17,Salida,82,47
463,9,2023-11-25,Salida,72,36
464,3,2024-06-17,Entrada,8,45
465,12,2023-07-16,Salida,23,11
466,2,2023-11-24,Salida,3,2
467,9,2024-02-03,Salida,16,24
468,3,2024-03-10,Entrada,49,11
469,10,2023-06-12,Entrada,60,46
470,5,2023-12-28,Salida,22,41
471,3,2023-01-21,Entrada,78,36
472,5,2023-01-12,Entrada,80,6
473,11,2023-04-11,Salida,32,42
474,6,2023-09-15,Salida,44,47
475,5,2023-03-12,Entrada,73,4
476,2,2024-05-05,Entrada,59,16
477,1,2024-09-09,Entrada,20,12
478,4,2024-03-29,Entrada,3,3
479,6,2024-10-02,Salida,98,50
480,7,2023-12-12,Salida,18,17
481,11,2022-11-06,Salida,29,32
482,7,2023-04-29,Entrada,27,14
483,8,2024-09-28,Salida,49,9
484,1,2023-04-28,Salida,72,32
485,5,2023-02-07,Entrada,90,17
486,2,2024-05-01,Salida,11,32
487,1,2024-03-31,Salida,6,1
488,9,2023-04-10,Entrada,31,42
489,8,2023-02-04,Salida,4,41
490,2,2023-12-08,Salida,72,24
491,6,2022-11-07,Salida,100,49
492,6,2023-06-10,Salida,38,9
493,7,2023-06-16,Salida,80,21
494,11,2022-12-15,Salida,88,18
495,7,2024-07-31,Entrada,36,24
496,3,2023-03-09,Salida,45,47
497,6,2022-11-08,Salida,69,23
498,9,2023-03-10,Entrada,47,17
499,7,2023-03-29,Salida,92,16
500,5,2023-07-06,Salida,71,11
501,9,2023-12-07,Entrada,79,21
502,3,2023-12-07,Salida,44,21
503,5,2024-06-01,Salida,96,14
504,4,2024-09-17,Entrada,30,3
505,4,2024-08-04,Salida,2,41
506,3,2024-03-11,Entrada,72,13
507,1,2023-10-23,Salida,65,43
508,7,2023-10-12,Salida,23,43
509,9,2024-04-25,Salida,85,41
510,2,2023-12-05,Salida,11,41
511,2,2024-08-07,Salida,32,29
512,4,2023-06-28,Salida,55,25
513,11,2023-11-13,Salida,29,1
514,1,2024-08-09,Salida,13,47
515,3,2024-02-28,Entrada,13,19
516,10,2023-12-09,Entrada,20,2
517,3,2024-04-03,Entrada,64,36
518,9,2024-03-07,Salida,73,21
519,5,2023-07-19,Salida,26,12
520,11,2023-09-04,Salida,93,29
521,6,2023-10-13,Entrada,91,48
522,1,2024-05-05,Entrada,76,36
523,3,2023-05-13,Entrada,6,15
524,3,2024-03-02,Entrada,46,18
525,7,2024-07-04,Entrada,37,32
526,10,2024-05-08,Salida,55,41
527,3,2022-11-06,Salida,73,38
528,8,2023-05-17,Salida,79,14
529,3,2023-08-06,Entrada,36,13
530,5,2022-11-28,Salida,43,12
531,3,2023-01-06,Salida,62,28
532,1,2024-01-09,Entrada,86,14
533,7,2023-05-22,Entrada,1,18
534,3,2024-03-09,Salida,26,32
535,6,2023-03-07,Salida,14,2
536,2,2023-08-01,Entrada,78,30
537,11,2024-10-03,Entrada,8,43
538,7,2022-10-31,Salida,34,44
539,6,2023-04-23,Entrada,3,15
540,12,2023-12-17,Entrada,5,49
541,10,2022-12-29,Salida,85,31
542,12,2023-05-28,Entrada,3,19
543,5,2023-08-25,Salida,14,22
544,10,2023-03-03,Salida,25,29
545,1,2022-12-26,Entrada,89,14
546,3,2023-07-05,Entrada,66,41
547,7,2024-01-28,Entrada,99,29
548,5,2023-08-21,Salida,39,19
549,1,2024-04-16,Entrada,100,24
550,1,2023-04-04,Salida,19,42
551,1,2024-02-02,Entrada,15,23
552,3,2024-09-02,Entrada,35,31
553,12,2024-07-28,Salida,84,8
554,3,2024-09-18,Salida,24,32
555,9,2023-06-30,Salida,49,7
556,10,2023-12-05,Entrada,85,5
557,9,2023-03-21,Entrada,40,30
558,4,2024-09-07,Entrada,15,11
559,7,2023-09-24,Entrada,49,19
560,6,2024-01-20,Salida,19,15
561,4,2023-09-14,Salida,36,12
562,11,2022-11-22,Entrada,34,39
563,4,2023-02-23,Salida,2,12
564,6,2023-09-05,Entrada,49,34
565,8,2022-11-06,Entrada,76,40
566,10,2023-04-08,Entrada,47,36
567,5,2024-01-27,Salida,99,50
568,10,2022-10-23,Entrada,58,47
569,10,2024-03-11,Salida,66,31
570,8,2024-06-19,Salida,36,41
571,7,2023-07-27,Entrada,7,10
572,2,2023-09-16,Entrada,80,5
573,11,2022-12-06,Entrada,20,42
574,2,2023-07-20,Salida,33,40
575,8,2022-10-22,Entrada,77,1
576,3,2023-09-23,Entrada,90,5
577,3,2023-01-04,Entrada,65,15
578,6,2024-05-15,Salida,53,46
579,9,2024-01-04,Entrada,8,42
580,6,2023-11-22,Entrada,54,11
581,5,2023-08-05,Entrada,74,28
582,12,2023-08-12,Salida,17,44
583,2,2023-07-23,Entrada,1,38
584,8,2024-01-07,Salida,6,34
585,3,2023-01-25,Salida,68,33
586,5,2023-09-22,Entrada,85,27
587,3,2024-02-16,Entrada,61,26
588,10,2023-05-14,Salida,69,13
589,6,2023-03-25,Entrada,93,47
590,9,2024-09-27,Entrada,73,41
591,6,2023-02-08,Entrada,53,21
592,12,2024-01-02,Entrada,46,18
593,9,2023-10-18,Salida,25,10
594,8,2024-02-08,Entrada,77,43
595,6,2023-02-01,Entrada,56,5
596,6,2024-03-08,Salida,26,36
597,4,2022-11-03,Salida,12,13
598,6,2023-09-13,Entrada,99,45
599,7,2024-02-24,Entrada,99,23
600,2,2024-02-29,Salida,89,15
601,11,2024-01-25,Salida,67,37
602,1,2023-06-01,Salida,47,29
603,2,2022-12-29,Entrada,90,17
604,3,2023-02-27,Salida,97,7
605,2,2023-05-23,Salida,77,3
606,9,2023-01-01,Entrada,47,14
607,9,2023-12-30,Salida,23,42
608,1,2023-11-29,Entrada,28,48
609,1,2024-08-18,Entrada,61,22
610,4,2024-06-16,Salida,39,48
611,3,2024-05-03,Salida,10,42
612,6,2023-09-19,Salida,64,46
613,1,2023-03-01,Entrada,78,16
614,11,2023-03-03,Entrada,38,46
615,3,2024-02-14,Entrada,67,11
616,6,2023-10-05,Salida,46,3
617,11,2023-01-18,Salida,12,36
618,10,2023-06-29,Salida,84,2
619,5,2023-12-06,Entrada,43,6
620,12,2023-06-29,Entrada,57,5
621,4,2024-05-06,Entrada,27,46
622,3,2023-06-07,Salida,40,46
623,10,2022-12-13,Salida,14,43
624,1,2023-03-23,Entrada,22,19
625,5,2023-05-20,Salida,86,29
626,10,2024-01-22,Entrada,59,17
627,5,2023-12-29,Salida,91,15
628,6,2024-01-23,Salida,39,45
629,9,2023-03-21,Entrada,77,3
630,1,2024-07-09,Entrada,55,4
631,4,2023-04-27,Entrada,9,20
632,5,2024-09-04,Salida,80,11
633,6,2023-11-11,Entrada,93,27
634,1,2023-09-21,Entrada,66,10
635,3,2024-06-25,Salida,74,45
636,10,2023-04-04,Entrada,83,31
637,11,2024-08-18,Salida,70,45
638,10,2023-10-13,Salida,47,6
639,4,2024-02-29,Salida,71,26
640,4,2022-12-25,Salida,73,28
641,8,2024-02-12,Entrada,92,45
642,12,2023-02-06,Salida,18,15
643,12,2022-12-12,Entrada,34,50
644,8,2024-07-08,Entrada,25,17
645,1,2024-08-11,Salida,26,42
646,1,2024-02-02,Entrada,49,15
647,1,2024-09-30,Salida,83,40
648,10,2023-06-03,Entrada,11,49
649,9,2024-07-22,Entrada,28,36
650,11,2023-12-29,Salida,49,21
651,3,2023-09-28,Entrada,36,14
652,6,2024-09-05,Salida,71,49
653,10,2024-02-05,Entrada,7,16
654,2,2024-01-12,Entrada,51,16
655,5,2022-10-19,Entrada,42,15
656,9,2023-03-03,Salida,6,41
657,3,2024-02-14,Salida,99,48
658,12,2024-10-06,Salida,38,30
659,9,2024-04-07,Entrada,98,7
660,12,2023-05-14,Salida,32,27
661,8,2024-10-11,Salida,66,11
662,8,2024-02-11,Entrada,70,20
663,3,2024-06-12,Entrada,20,1
664,8,2024-01-25,Salida,38,21
665,4,2023-12-06,Salida,67,49
666,7,2023-07-09,Entrada,91,19
667,9,2023-07-27,Entrada,55,28
668,1,2022-10-26,Entrada,62,20
669,11,2024-09-23,Salida,40,21
670,8,2022-11-11,Salida,39,10
671,7,2024-09-08,Salida,75,5
672,2,2023-09-18,Entrada,45,41
673,5,2024-05-27,Salida,83,37
674,6,2023-04-26,Entrada,33,41
675,6,2023-12-05,Salida,5,19
676,8,2023-05-02,Salida,17,18
677,2,2024-07-14,Entrada,43,35
678,11,2023-10-14,Salida,44,45
679,11,2023-01-10,Salida,68,27
680,4,2024-04-02,Salida,84,47
681,2,2023-10-04,Entrada,1,38
682,7,2024-05-29,Salida,55,6
683,2,2024-07-22,Salida,16,5
684,3,2024-06-18,Salida,100,38
685,6,2023-03-05,Salida,37,9
686,11,2023-07-01,Entrada,69,36
687,2,2022-10-18,Entrada,54,39
688,11,2024-04-08,Salida,16,42
689,12,2024-04-11,Salida,20,13
690,10,2023-05-08,Entrada,23,19
691,11,2023-12-09,Entrada,39,26
692,6,2022-11-26,Entrada,31,27
693,2,2023-03-18,Salida,3,40
694,10,2024-05-12,Salida,98,49
695,6,2024-06-27,Salida,95,39
696,6,2023-04-09,Entrada,80,40
697,2,2022-10-23,Entrada,17,11
698,3,2023-02-18,Salida,94,36
699,6,2024-06-04,Salida,4,19
700,8,2024-03-26,Entrada,27,41
701,5,2024-06-17,Entrada,78,12
702,3,2024-05-16,Entrada,66,46
703,6,2023-09-16,Entrada,53,1
704,11,2023-01-18,Salida,88,44
705,9,2024-01-06,Salida,76,45
706,12,2023-05-27,Entrada,70,6
707,3,2024-06-11,Salida,48,12
708,5,2024-05-17,Entrada,57,13
709,4,2023-03-09,Salida,62,23
710,7,2023-04-05,Salida,13,28
711,8,2024-05-30,Salida,24,22
712,8,2023-11-16,Entrada,59,22
713,12,2024-04-25,Entrada,43,19
