VentaID,ClienteID,Fecha de venta,Total de venta,Método de pago,Estado de entrega
140,24,2024-02-28,360.7,Transferencia,Pendiente
141,167,2024-01-13,283.55,Transferencia,Cancelado
142,548,2023-08-10,248.93,Transferencia,Entregado
143,839,2024-06-29,409.41,Efectivo,Entregado
144,114,2023-03-24,111.03,Tarjeta de crédito,Pendiente
145,597,2023-06-22,469.97,Tarjeta de crédito,Cancelado
146,548,2023-10-03,358.03,Transferencia,Entregado
147,928,2024-05-14,460.26,Tarjeta de crédito,Pendiente
148,910,2023-07-27,167.09,Efectivo,Pendiente
149,267,2022-11-25,238.63,Transferencia,Pendiente
150,355,2024-03-04,307.59,Tarjeta de crédito,Cancelado
151,959,2024-08-06,203.81,Tarjeta de crédito,Pendiente
152,740,2023-07-11,286.87,Tarjeta de crédito,Entregado
153,988,2024-05-31,412.71,Efectivo,Entregado
154,124,2024-04-07,284.76,Efectivo,Cancelado
155,764,2024-06-16,260.37,Tarjeta de crédito,Entregado
156,817,2024-05-19,186.84,Tarjeta de crédito,Entregado
157,924,2023-03-28,466.6,Efectivo,Cancelado
158,317,2024-02-26,450.47,Transferencia,Cancelado
159,625,2023-12-27,31.01,Tarjeta de crédito,Entregado
160,787,2024-04-09,392.34,Transferencia,Cancelado
161,514,2023-08-01,168.41,Transferencia,Pendiente
162,205,2024-03-15,374.32,Efectivo,Pendiente
163,951,2024-01-17,93.81,Efectivo,Entregado
164,334,2023-08-11,51.68,Tarjeta de crédito,Cancelado
165,129,2024-07-24,396.13,Efectivo,Pendiente
166,598,2024-01-29,150.2,Transferencia,Cancelado
167,970,2022-12-07,154.31,Transferencia,Pendiente
168,376,2024-09-13,278.92,Tarjeta de crédito,Entregado
169,700,2024-07-14,243.73,Efectivo,Entregado
170,818,2024-09-09,398.54,Efectivo,Pendiente
171,645,2023-04-21,293.64,Efectivo,Pendiente
172,427,2023-05-18,399.81,Tarjeta de crédito,Pendiente
173,784,2023-09-06,369.16,Tarjeta de crédito,Entregado
174,198,2022-12-24,227.17,Tarjeta de crédito,Cancelado
175,794,2024-09-14,128.0,Efectivo,Entregado
176,850,2023-11-23,286.22,Efectivo,Entregado
177,445,2023-11-30,194.29,Transferencia,Pendiente
178,647,2024-02-08,367.62,Transferencia,Cancelado
179,829,2023-10-08,467.99,Transferencia,Entregado
180,783,2024-06-24,342.46,Efectivo,Entregado
181,896,2024-08-14,186.45,Tarjeta de crédito,Entregado
182,204,2024-09-08,272.27,Transferencia,Pendiente
183,945,2024-05-04,219.78,Transferencia,Cancelado
184,133,2024-04-21,201.81,Tarjeta de crédito,Pendiente
185,83,2023-02-10,474.98,Efectivo,Entregado
186,144,2024-05-02,100.02,Efectivo,Pendiente
187,961,2024-06-30,414.53,Tarjeta de crédito,Pendiente
188,259,2024-05-28,76.29,Tarjeta de crédito,Entregado
189,975,2022-12-18,407.12,Efectivo,Entregado
190,776,2024-01-13,283.73,Transferencia,Pendiente
191,378,2024-07-02,223.94,Efectivo,Cancelado
192,761,2024-07-11,212.94,Transferencia,Cancelado
193,289,2023-08-26,312.98,Transferencia,Entregado
194,109,2024-09-07,498.16,Tarjeta de crédito,Entregado
195,909,2023-05-18,146.72,Efectivo,Entregado
196,865,2023-05-21,320.47,Transferencia,Cancelado
197,880,2024-05-04,130.1,Tarjeta de crédito,Cancelado
198,563,2024-07-29,316.65,Efectivo,Cancelado
199,892,2023-07-14,212.55,Transferencia,Cancelado
200,883,2023-03-22,432.61,Tarjeta de crédito,Pendiente
201,772,2024-03-14,117.85,Efectivo,Cancelado
202,497,2024-02-20,139.78,Efectivo,Pendiente
203,919,2024-07-25,317.73,Tarjeta de crédito,Pendiente
204,594,2023-02-12,137.16,Efectivo,Pendiente
205,534,2024-05-04,392.31,Transferencia,Cancelado
206,533,2024-09-19,384.74,Transferencia,Cancelado
207,749,2022-10-19,465.71,Tarjeta de crédito,Cancelado
208,542,2023-07-20,483.54,Transferencia,Entregado
209,350,2023-09-29,33.37,Transferencia,Pendiente
210,227,2024-05-30,433.19,Efectivo,Pendiente
211,344,2022-10-25,450.94,Tarjeta de crédito,Entregado
212,537,2024-06-16,358.68,Tarjeta de crédito,Cancelado
213,57,2023-01-04,118.86,Efectivo,Cancelado
214,704,2023-03-03,278.47,Transferencia,Pendiente
215,813,2023-08-24,52.43,Efectivo,Pendiente
216,595,2022-11-19,449.75,Transferencia,Pendiente
217,298,2024-02-11,362.07,Efectivo,Pendiente
218,291,2024-10-09,489.21,Transferencia,Pendiente
219,449,2023-11-01,62.02,Transferencia,Cancelado
220,810,2024-02-27,125.68,Efectivo,Cancelado
221,366,2024-04-04,146.23,Efectivo,Entregado
222,404,2024-03-03,289.01,Tarjeta de crédito,Cancelado
223,578,2023-04-14,322.94,Transferencia,Cancelado
224,144,2022-11-27,110.73,Transferencia,Pendiente
225,139,2023-12-03,139.01,Efectivo,Cancelado
226,572,2024-08-04,25.19,Efectivo,Entregado
227,229,2024-08-14,327.18,Efectivo,Cancelado
228,795,2023-07-21,194.96,Tarjeta de crédito,Cancelado
229,173,2024-05-03,397.28,Transferencia,Cancelado
230,313,2024-07-01,69.44,Transferencia,Pendiente
231,216,2024-05-10,361.04,Tarjeta de crédito,Pendiente
232,430,2023-08-25,149.46,Tarjeta de crédito,Cancelado
233,737,2022-10-13,33.91,Efectivo,Entregado
234,393,2023-01-22,117.72,Transferencia,Entregado
235,816,2023-10-14,386.86,Transferencia,Entregado
236,269,2022-11-13,346.01,Tarjeta de crédito,Entregado
237,503,2024-05-12,275.21,Tarjeta de crédito,Cancelado
238,428,2023-07-23,412.72,Efectivo,Pendiente
239,30,2023-11-14,198.87,Efectivo,Cancelado
240,762,2022-12-24,421.01,Tarjeta de crédito,Cancelado
241,205,2024-10-02,470.95,Efectivo,Entregado
242,862,2022-11-28,333.96,Transferencia,Cancelado
243,6,2023-01-01,324.05,Efectivo,Cancelado
244,763,2024-06-22,413.68,Transferencia,Pendiente
245,427,2023-09-25,371.93,Tarjeta de crédito,Entregado
246,919,2024-08-07,73.89,Transferencia,Pendiente
247,170,2024-04-07,251.74,Efectivo,Cancelado
248,373,2024-05-14,482.03,Transferencia,Entregado
249,548,2024-04-29,338.41,Transferencia,Pendiente
250,46,2023-04-05,195.44,Efectivo,Pendiente
251,946,2023-11-04,323.21,Efectivo,Entregado
252,148,2023-07-18,484.78,Tarjeta de crédito,Entregado
253,999,2023-03-30,268.11,Efectivo,Cancelado
254,7,2023-05-09,335.95,Efectivo,Pendiente
255,515,2023-04-07,496.88,Transferencia,Cancelado
256,469,2023-04-29,270.73,Transferencia,Entregado
257,839,2023-01-07,198.04,Tarjeta de crédito,Pendiente
258,558,2022-12-14,186.0,Transferencia,Entregado
259,961,2024-06-01,431.6,Transferencia,Cancelado
260,714,2024-01-29,219.68,Tarjeta de crédito,Pendiente
261,355,2023-04-02,455.6,Efectivo,Entregado
262,137,2023-06-03,363.72,Efectivo,Pendiente
263,929,2024-02-07,151.78,Transferencia,Pendiente
264,339,2024-09-17,427.09,Efectivo,Entregado
265,897,2023-09-21,83.27,Tarjeta de crédito,Pendiente
266,379,2024-09-05,255.5,Tarjeta de crédito,Cancelado
267,65,2023-03-24,303.07,Efectivo,Cancelado
268,496,2023-10-08,79.54,Transferencia,Cancelado
269,498,2023-05-27,487.24,Transferencia,Cancelado
270,273,2024-01-10,49.25,Efectivo,Entregado
271,385,2024-01-13,490.53,Tarjeta de crédito,Cancelado
272,135,2024-09-26,46.36,Tarjeta de crédito,Entregado
273,385,2024-02-24,105.98,Tarjeta de crédito,Entregado
274,95,2024-07-02,286.68,Efectivo,Entregado
275,128,2023-12-01,141.24,Tarjeta de crédito,Cancelado
276,122,2023-01-01,213.07,Tarjeta de crédito,Cancelado
277,305,2023-09-19,269.35,Tarjeta de crédito,Pendiente
278,782,2023-12-01,169.15,Tarjeta de crédito,Pendiente
279,391,2024-01-05,156.5,Tarjeta de crédito,Entregado
280,222,2024-09-17,69.07,Efectivo,Entregado
281,842,2023-06-13,67.08,Tarjeta de crédito,Pendiente
282,288,2024-03-30,206.86,Transferencia,Cancelado
283,668,2023-10-11,136.08,Efectivo,Cancelado
284,351,2023-09-19,307.17,Efectivo,Pendiente
285,765,2022-12-11,406.79,Transferencia,Pendiente
286,258,2023-03-11,454.65,Tarjeta de crédito,Pendiente
287,14,2024-01-08,244.53,Efectivo,Cancelado
288,429,2023-12-24,422.09,Efectivo,Entregado
289,764,2024-02-03,144.8,Efectivo,Cancelado
290,679,2023-06-06,469.65,Transferencia,Cancelado
291,137,2024-01-02,311.09,Tarjeta de crédito,Pendiente
292,31,2024-02-27,242.44,Tarjeta de crédito,Entregado
293,355,2023-01-02,113.03,Tarjeta de crédito,Pendiente
294,674,2023-04-29,470.97,Transferencia,Entregado
295,921,2023-01-03,483.09,Transferencia,Pendiente
296,923,2022-12-20,183.03,Tarjeta de crédito,Pendiente
297,901,2024-02-11,25.95,Tarjeta de crédito,Entregado
298,192,2024-01-15,194.65,Tarjeta de crédito,Entregado
299,722,2024-10-04,54.17,Transferencia,Cancelado
300,166,2024-08-05,485.85,Efectivo,Pendiente
301,664,2022-10-22,268.41,Tarjeta de crédito,Entregado
302,767,2024-09-16,298.26,Transferencia,Entregado
303,868,2023-11-23,419.26,Transferencia,Pendiente
304,421,2024-03-09,325.71,Efectivo,Entregado
305,923,2024-04-09,28.2,Efectivo,Pendiente
306,554,2023-02-25,335.14,Tarjeta de crédito,Entregado
307,414,2023-11-02,82.54,Efectivo,Entregado
308,682,2024-01-07,227.19,Tarjeta de crédito,Pendiente
309,145,2023-07-05,145.24,Tarjeta de crédito,Entregado
310,280,2023-05-08,235.27,Tarjeta de crédito,Cancelado
311,253,2024-04-28,211.5,Efectivo,Cancelado
312,455,2024-06-22,479.26,Tarjeta de crédito,Pendiente
313,249,2024-08-17,491.97,Efectivo,Pendiente
314,366,2022-10-20,25.61,Transferencia,Entregado
315,345,2024-05-10,58.31,Efectivo,Pendiente
316,590,2024-01-04,366.24,Tarjeta de crédito,Entregado
317,286,2023-01-13,267.33,Tarjeta de crédito,Entregado
318,227,2023-07-30,175.52,Tarjeta de crédito,Cancelado
319,850,2022-10-23,494.27,Transferencia,Entregado
320,396,2023-06-12,320.9,Tarjeta de crédito,Pendiente
321,245,2023-04-07,283.98,Tarjeta de crédito,Cancelado
322,441,2024-09-24,61.66,Tarjeta de crédito,Pendiente
323,502,2024-08-02,287.71,Efectivo,Entregado
324,140,2023-04-24,61.63,Transferencia,Entregado
325,675,2024-09-14,260.4,Efectivo,Entregado
326,540,2023-10-22,284.53,Tarjeta de crédito,Cancelado
327,321,2024-06-20,348.12,Tarjeta de crédito,Entregado
328,724,2024-07-31,384.91,Efectivo,Pendiente
329,944,2024-08-30,91.66,Tarjeta de crédito,Pendiente
330,827,2024-04-10,208.79,Transferencia,Pendiente
331,325,2024-09-30,21.08,Tarjeta de crédito,Entregado
332,565,2023-04-20,81.13,Efectivo,Cancelado
333,462,2024-02-15,116.04,Tarjeta de crédito,Entregado
334,600,2024-01-14,334.28,Efectivo,Entregado
335,585,2024-07-23,191.36,Tarjeta de crédito,Cancelado
336,101,2023-03-27,69.29,Efectivo,Cancelado
337,534,2023-10-13,347.99,Tarjeta de crédito,Entregado
338,859,2024-02-03,93.45,Efectivo,Cancelado
339,568,2024-03-29,302.0,Efectivo,Cancelado
340,788,2024-03-19,34.11,Transferencia,Cancelado
341,359,2023-04-15,90.14,Tarjeta de crédito,Pendiente
342,236,2024-03-01,57.1,Efectivo,Entregado
343,341,2023-03-20,26.49,Efectivo,Cancelado
344,86,2024-05-25,298.84,Tarjeta de crédito,Entregado
345,969,2024-08-18,110.7,Transferencia,Entregado
346,726,2022-11-18,36.21,Tarjeta de crédito,Pendiente
347,555,2024-03-26,44.23,Transferencia,Entregado
348,752,2023-12-01,478.24,Transferencia,Cancelado
349,640,2023-05-03,429.31,Transferencia,Entregado
350,491,2023-09-23,445.04,Efectivo,Entregado
351,549,2024-05-30,440.01,Efectivo,Entregado
352,410,2023-07-11,458.1,Efectivo,Entregado
353,952,2024-02-11,91.85,Tarjeta de crédito,Entregado
354,48,2024-02-11,339.7,Efectivo,Pendiente
355,762,2024-04-14,406.77,Tarjeta de crédito,Entregado
356,561,2023-05-31,366.59,Tarjeta de crédito,Pendiente
357,370,2023-04-28,28.7,Transferencia,Cancelado
358,774,2023-02-01,380.21,Efectivo,Pendiente
359,105,2024-04-09,317.24,Tarjeta de crédito,Entregado
360,52,2024-06-11,124.72,Tarjeta de crédito,Pendiente
361,533,2023-01-12,129.05,Efectivo,Pendiente
362,432,2024-01-20,431.82,Tarjeta de crédito,Cancelado
363,50,2024-04-15,305.28,Transferencia,Pendiente
364,731,2024-07-12,47.25,Transferencia,Entregado
365,813,2023-06-17,173.23,Transferencia,Entregado
366,714,2023-06-26,146.27,Efectivo,Cancelado
367,93,2023-11-12,350.84,Tarjeta de crédito,Entregado
368,841,2022-10-23,62.0,Tarjeta de crédito,Cancelado
369,680,2023-03-09,197.2,Transferencia,Entregado
370,682,2024-05-15,64.08,Tarjeta de crédito,Entregado
371,625,2023-02-06,287.17,Transferencia,Pendiente
372,249,2023-07-10,370.51,Efectivo,Cancelado
373,599,2023-10-06,128.8,Transferencia,Cancelado
374,196,2024-01-29,283.16,Tarjeta de crédito,Cancelado
375,805,2023-11-02,402.77,Tarjeta de crédito,Pendiente
376,412,2024-06-07,28.28,Efectivo,Pendiente
377,162,2023-02-17,32.46,Transferencia,Pendiente
378,56,2023-04-10,344.2,Transferencia,Pendiente
379,678,2022-10-30,242.33,Efectivo,Pendiente
380,501,2024-06-26,278.49,Efectivo,Pendiente
381,5,2023-03-10,437.12,Tarjeta de crédito,Entregado
382,486,2023-08-20,393.52,Transferencia,Cancelado
383,720,2023-04-05,286.97,Transferencia,Entregado
384,444,2024-06-18,56.72,Tarjeta de crédito,Entregado
385,508,2024-03-03,43.0,Tarjeta de crédito,Entregado
386,538,2023-07-14,164.35,Transferencia,Entregado
387,144,2023-04-12,194.18,Tarjeta de crédito,Cancelado
388,30,2024-05-29,246.85,Transferencia,Entregado
389,530,2022-12-07,222.22,Efectivo,Pendiente
390,436,2023-08-28,338.53,Transferencia,Cancelado
391,681,2024-06-28,244.03,Transferencia,Cancelado
392,577,2024-05-06,282.79,Efectivo,Cancelado
393,146,2023-04-08,54.42,Efectivo,Pendiente
394,638,2022-10-14,113.23,Transferencia,Entregado
395,989,2023-12-05,171.59,Tarjeta de crédito,Cancelado
396,296,2024-08-12,110.59,Tarjeta de crédito,Entregado
397,394,2024-01-28,170.12,Efectivo,Pendiente
398,912,2024-02-04,69.13,Tarjeta de crédito,Pendiente
399,925,2024-05-17,184.74,Transferencia,Entregado
400,853,2024-03-02,440.29,Transferencia,Cancelado
401,154,2023-11-03,144.04,Efectivo,Entregado
402,890,2022-11-27,483.79,Transferencia,Pendiente
403,554,2023-11-07,498.08,Tarjeta de crédito,Entregado
404,411,2024-04-04,48.89,Efectivo,Cancelado
405,214,2024-07-12,117.15,Tarjeta de crédito,Pendiente
406,117,2024-07-07,222.44,Tarjeta de crédito,Entregado
407,97,2023-02-22,46.63,Efectivo,Entregado
408,927,2023-11-06,296.02,Efectivo,Entregado
409,259,2024-01-07,246.21,Tarjeta de crédito,Cancelado
410,621,2023-12-13,57.19,Efectivo,Cancelado
411,838,2023-12-08,117.79,Tarjeta de crédito,Cancelado
412,595,2023-09-12,459.61,Transferencia,Cancelado
413,392,2023-02-08,261.11,Efectivo,Pendiente
414,7,2023-08-25,258.22,Tarjeta de crédito,Cancelado
415,573,2023-01-29,410.64,Tarjeta de crédito,Entregado
416,15,2024-07-02,424.69,Tarjeta de crédito,Cancelado
417,554,2024-04-29,203.84,Transferencia,Cancelado
418,700,2024-08-18,276.36,Efectivo,Entregado
419,873,2023-11-28,429.04,Efectivo,Pendiente
420,384,2024-08-14,249.39,Transferencia,Cancelado
421,498,2024-07-15,326.81,Tarjeta de crédito,Pendiente
422,185,2024-03-12,451.65,Tarjeta de crédito,Cancelado
423,390,2024-05-17,232.26,Tarjeta de crédito,Pendiente
424,380,2024-03-24,76.38,Transferencia,Entregado
425,262,2024-04-29,281.05,Efectivo,Entregado
426,419,2024-06-04,160.29,Transferencia,Cancelado
427,959,2023-10-17,171.49,Transferencia,Cancelado
428,200,2024-02-16,197.9,Efectivo,Cancelado
429,797,2024-01-01,438.28,Efectivo,Cancelado
430,514,2024-08-08,181.64,Efectivo,Entregado
431,434,2022-11-05,207.03,Tarjeta de crédito,Pendiente
432,363,2023-05-01,224.5,Transferencia,Entregado
433,938,2024-03-10,200.65,Tarjeta de crédito,Entregado
434,461,2023-01-15,253.59,Tarjeta de crédito,Pendiente
435,96,2024-04-10,250.14,Tarjeta de crédito,Cancelado
436,999,2023-02-01,482.38,Transferencia,Entregado
437,811,2024-03-20,439.57,Transferencia,Pendiente
438,804,2023-08-26,464.75,Efectivo,Cancelado
439,229,2022-12-29,28.98,Efectivo,Pendiente
440,665,2023-09-26,161.72,Tarjeta de crédito,Pendiente
441,394,2022-12-31,308.53,Efectivo,Pendiente
442,519,2023-06-18,115.03,Transferencia,Pendiente
443,928,2023-09-15,412.84,Tarjeta de crédito,Cancelado
444,534,2023-03-30,221.35,Transferencia,Cancelado
445,102,2024-09-04,123.4,Efectivo,Cancelado
446,440,2022-10-15,456.08,Efectivo,Entregado
447,807,2023-02-14,499.44,Efectivo,Entregado
448,616,2024-07-23,294.26,Transferencia,Cancelado
449,591,2023-08-14,434.68,Transferencia,Cancelado
450,322,2024-05-02,403.7,Tarjeta de crédito,Pendiente
451,941,2023-01-12,43.83,Efectivo,Entregado
452,853,2024-08-23,388.68,Tarjeta de crédito,Pendiente
453,325,2023-02-26,220.21,Tarjeta de crédito,Cancelado
454,65,2024-05-10,241.33,Efectivo,Entregado
455,731,2023-05-03,287.66,Transferencia,Pendiente
456,233,2024-06-13,422.44,Tarjeta de crédito,Entregado
457,424,2023-06-20,256.86,Transferencia,Cancelado
458,951,2023-02-06,472.18,Transferencia,Entregado
459,210,2024-08-01,25.45,Tarjeta de crédito,Entregado
460,976,2023-09-25,206.83,Tarjeta de crédito,Pendiente
461,974,2023-08-02,335.22,Tarjeta de crédito,Entregado
462,757,2022-12-03,215.65,Efectivo,Entregado
463,182,2024-03-21,430.69,Efectivo,Cancelado
464,510,2024-08-30,252.42,Transferencia,Pendiente
465,933,2022-11-29,41.45,Tarjeta de crédito,Entregado
466,58,2024-07-25,313.86,Efectivo,Entregado
467,428,2024-04-20,380.35,Efectivo,Entregado
468,460,2024-04-27,441.18,Efectivo,Cancelado
469,385,2023-05-08,444.89,Tarjeta de crédito,Entregado
470,866,2023-10-17,124.99,Tarjeta de crédito,Cancelado
471,617,2022-12-08,192.99,Tarjeta de crédito,Cancelado
472,339,2024-05-25,21.77,Efectivo,Pendiente
473,889,2023-04-07,493.96,Transferencia,Entregado
474,684,2022-12-26,285.45,Transferencia,Cancelado
475,787,2024-04-30,189.63,Tarjeta de crédito,Cancelado
476,66,2023-07-21,146.35,Transferencia,Entregado
477,442,2023-10-11,352.03,Transferencia,Pendiente
478,161,2023-10-10,119.21,Efectivo,Pendiente
479,912,2024-07-23,152.88,Tarjeta de crédito,Entregado
480,817,2024-06-04,297.42,Tarjeta de crédito,Entregado
481,371,2023-10-12,143.37,Transferencia,Cancelado
482,183,2023-11-01,96.6,Transferencia,Entregado
483,733,2023-07-11,356.44,Transferencia,Entregado
484,169,2023-05-21,364.45,Efectivo,Entregado
485,802,2023-04-29,72.11,Efectivo,Entregado
486,691,2024-05-30,286.3,Efectivo,Cancelado
487,255,2023-10-31,465.36,Efectivo,Pendiente
488,616,2024-01-14,384.13,Tarjeta de crédito,Pendiente
489,175,2023-03-21,443.01,Tarjeta de crédito,Pendiente
